Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
Keyloop,Junior Data Analyst,Canada,1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.109868
dotSolved Systems Inc.,Marketing Data Analyst,Canada,18 minutes ago,Remote,,Mid-Senior Level,2024-11-09 14:01:19.109901
Snaplii,Data Analyst - Informatics and Systems,"Mississauga, ON",3 months ago,On-site,Full-time,Entry Level,2024-08-11 14:19:19.109910
Ratehub.ca,Data Analyst,"Toronto, ON",4 days ago,Remote,Full-time,Mid-Senior Level,2024-11-05 14:19:19.109916
Recruiting in Motion,Data Analyst (Remote),"North York, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.109920
Ericsson,Data Analyst Intern,"Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.109928
FirstPrinciples,Business Intelligence Analyst,"Toronto, ON",4 months ago,Remote,Full-time,Entry Level,2024-07-12 14:19:19.109934
UST,Data Analyst,"Toronto, ON",1 week ago,,Full-time,Entry Level,2024-11-02 14:19:19.109938
Circle K,Associate Data Scientist,"Scarborough, ON",Reposted 6 days ago,,Full-time,Entry Level,2024-11-03 14:19:19.109942
HelloFresh,Data Analyst,"Toronto, ON",Reposted 5 hours ago,,Full-time,Entry Level,2024-11-09 09:19:19.109947
LCBO,Customer Intelligence Analyst (Casual),"Toronto, ON",5 days ago,Hybrid,Part-time,Entry Level,2024-11-04 14:19:19.109951
Allstate Canada,Claims Intelligence Data Insights Analyst,"Ontario, Canada",11 hours ago,Remote,Full-time,Entry Level,2024-11-09 03:19:19.109955
CIBC,"Consultant, Business Intelligence and Insights","Toronto, ON",1 week ago,,Full-time,Entry Level,2024-11-02 14:19:19.109960
Astek,Data Analyst,"Toronto, ON",2 weeks ago,Hybrid,,Associate,2024-10-26 14:19:19.109964
Quantum Integrators,Power BI Consultant,Canada,9 minutes ago,Remote,,Mid-Senior Level,2024-11-09 14:10:19.109982
Ferrellgas,Business Intelligence Analyst,NAMER,Reposted 2 weeks ago,Remote,Full-time,Entry Level,2024-10-26 14:19:19.109987
Sobeys,"Analyst Business Intelligence, Contract","Mississauga, ON",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.109991
Emydex Technology,Technical Sales/Business Analyst,"Ontario, Canada",3 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-19 14:19:19.109994
Circle K,Data Scientist (Global Data and Analytics),"Scarborough, ON",Reposted 6 days ago,,Full-time,Entry Level,2024-11-03 14:19:19.109999
Greenstone Financial Services Canada,"Data Analyst, Workforce Management","North York, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-19 14:19:19.110035
Prodigy Education,Game Data Analyst,"Greater Toronto Area, Canada",Reposted 1 week ago,Hybrid,Full-time,Entry Level,2024-11-02 14:19:19.110039
"Scribd, Inc.","Data Analyst, Customer Support",Canada,Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.110043
Organigram Inc,Commercial Data Analyst,"Greater Toronto Area, Canada",2 weeks ago,On-site,Full-time,Associate,2024-10-26 14:19:19.110047
PIB (Programmed Insurance Brokers Inc.),Data Analyst,"Elmira, ON",2 weeks ago,Hybrid,Full-time,Associate,2024-10-26 14:19:19.110051
Instacart,"Data Analyst, Platform Excellence Ops Analytics",Greater Calgary Metropolitan Area,3 days ago,Remote,Full-time,Entry Level,2024-11-06 14:19:19.110055
Keyloop,Junior Data Analyst,Canada,1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.110059
Celestica,"Student Intern, Data Analyst & Quote Controller","Toronto, ON",Reposted 4 days ago,,,Mid-Senior Level,2024-11-05 14:19:19.110063
Amazon,ICQA Data Analyst,"St Thomas, ON",2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110067
Hootsuite,Strategic Customer Insights Analyst,"Toronto, ON",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.110071
Strategic Solutions Technology Staffing Inc.,Data Analyst,"Toronto, ON",2 weeks ago,Hybrid,,Mid-Senior Level,2024-10-26 14:19:19.110075
Perform,Business Intelligence (BI) Analyst,"Toronto, ON",1 week ago,On-site,,Mid-Senior Level,2024-11-02 14:19:19.110079
VHA Home HealthCare,Business Intelligence & Data Analyst - Temporary Full-Time,"Toronto, ON",Reposted 6 hours ago,Hybrid,Full-time,,2024-11-09 08:19:19.110082
Chartwell Retirement Residences,Analyst Data Visualization,"Mississauga, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110086
BGIS,Data Analyst,"Toronto, ON",Reposted 1 week ago,On-site,Full-time,Entry Level,2024-11-02 14:19:19.110091
CPA Ontario,Data Analyst,"Toronto, ON",2 months ago,Hybrid,Full-time,Mid-Senior Level,2024-09-10 14:19:19.110095
Four Seasons Hotels and Resorts,"Analyst, Data Science","Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110099
Apex Systems,Business Systems Analyst (Data Management & Analytics),"Toronto, ON",5 days ago,Hybrid,,,2024-11-04 14:19:19.110102
UniUni,Data Analyst & BI Specialist,Canada,Reposted 1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110106
Unreal Staffing,AI Analyst (The Data Decoder),"Toronto, ON",1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110110
BGIS,Business Intelligence Analyst (Future Openings),"Markham, ON",Reposted 2 days ago,On-site,Full-time,Mid-Senior Level,2024-11-07 14:19:19.110114
Four Seasons Hotels and Resorts,"Analyst, Data Assets","Toronto, ON",Reposted 4 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-05 14:19:19.110117
Astellas Pharma,Clinical Data Analyst,"Markham, ON",Reposted 4 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-05 14:19:19.110121
"NFP, an Aon company (Canada)",Data Conversion Analyst - Remote,"Mississauga, ON",Reposted 5 days ago,Remote,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110125
Stripe,Data Analyst,"Toronto, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110128
SCHOOL BOARDS' CO-OPERATIVE INC.,Bilingual Data Assistant/ Analyst,"Markham, ON",4 days ago,Hybrid,Full-time,Associate,2024-11-05 14:19:19.110139
Affirm,"Analyst I, Growth Analytics","Toronto, ON",1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.110142
ICUC,Insights Analyst,"Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110146
Astek,Data Analyst,"Toronto, ON",1 week ago,Hybrid,,Associate,2024-11-02 14:19:19.110150
"NFP, an Aon company (Canada)",Data Conversion Analyst - Remote,"Collingwood, ON",Reposted 5 days ago,Remote,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110154
Visa,"Visa Consulting Analytics (VCA) Analyst, New College Grad – 2025","Toronto, ON",2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110157
