Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type
Keyloop,Junior Data Analyst,Canada,1 week ago,Remote,Full-time,Associate
dotSolved Systems Inc.,Marketing Data Analyst,Canada,18 minutes ago,Remote,,Mid-Senior Level
Snaplii,Data Analyst - Informatics and Systems,"Mississauga, ON",3 months ago,On-site,Full-time,Entry Level
Ratehub.ca,Data Analyst,"Toronto, ON",4 days ago,Remote,Full-time,Mid-Senior Level
Recruiting in Motion,Data Analyst (Remote),"North York, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level
Ericsson,Data Analyst Intern,"Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level
FirstPrinciples,Business Intelligence Analyst,"Toronto, ON",4 months ago,Remote,Full-time,Entry Level
UST,Data Analyst,"Toronto, ON",1 week ago,,Full-time,Entry Level
Circle K,Associate Data Scientist,"Scarborough, ON",Reposted 6 days ago,,Full-time,Entry Level
HelloFresh,Data Analyst,"Toronto, ON",Reposted 5 hours ago,,Full-time,Entry Level
LCBO,Customer Intelligence Analyst (Casual),"Toronto, ON",5 days ago,Hybrid,Part-time,Entry Level
Allstate Canada,Claims Intelligence Data Insights Analyst,"Ontario, Canada",11 hours ago,Remote,Full-time,Entry Level
CIBC,"Consultant, Business Intelligence and Insights","Toronto, ON",1 week ago,,Full-time,Entry Level
Astek,Data Analyst,"Toronto, ON",2 weeks ago,Hybrid,,Associate
Quantum Integrators,Power BI Consultant,Canada,9 minutes ago,Remote,,Mid-Senior Level
Ferrellgas,Business Intelligence Analyst,NAMER,Reposted 2 weeks ago,Remote,Full-time,Entry Level
Sobeys,"Analyst Business Intelligence, Contract","Mississauga, ON",4 days ago,Hybrid,,Entry Level
Emydex Technology,Technical Sales/Business Analyst,"Ontario, Canada",3 weeks ago,Remote,Full-time,Mid-Senior Level
Circle K,Data Scientist (Global Data and Analytics),"Scarborough, ON",Reposted 6 days ago,,Full-time,Entry Level
Greenstone Financial Services Canada,"Data Analyst, Workforce Management","North York, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level
Prodigy Education,Game Data Analyst,"Greater Toronto Area, Canada",Reposted 1 week ago,Hybrid,Full-time,Entry Level
"Scribd, Inc.","Data Analyst, Customer Support",Canada,Reposted 1 week ago,Remote,Full-time,Associate
Organigram Inc,Commercial Data Analyst,"Greater Toronto Area, Canada",2 weeks ago,On-site,Full-time,Associate
PIB (Programmed Insurance Brokers Inc.),Data Analyst,"Elmira, ON",2 weeks ago,Hybrid,Full-time,Associate
Instacart,"Data Analyst, Platform Excellence Ops Analytics",Greater Calgary Metropolitan Area,3 days ago,Remote,Full-time,Entry Level
Keyloop,Junior Data Analyst,Canada,1 week ago,Remote,Full-time,Associate
Celestica,"Student Intern, Data Analyst & Quote Controller","Toronto, ON",Reposted 4 days ago,,,Mid-Senior Level
Amazon,ICQA Data Analyst,"St Thomas, ON",2 weeks ago,,Full-time,Mid-Senior Level
Hootsuite,Strategic Customer Insights Analyst,"Toronto, ON",1 week ago,Hybrid,Full-time,
Strategic Solutions Technology Staffing Inc.,Data Analyst,"Toronto, ON",2 weeks ago,Hybrid,,Mid-Senior Level
Perform,Business Intelligence (BI) Analyst,"Toronto, ON",1 week ago,On-site,,Mid-Senior Level
VHA Home HealthCare,Business Intelligence & Data Analyst - Temporary Full-Time,"Toronto, ON",Reposted 6 hours ago,Hybrid,Full-time,
Chartwell Retirement Residences,Analyst Data Visualization,"Mississauga, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level
BGIS,Data Analyst,"Toronto, ON",Reposted 1 week ago,On-site,Full-time,Entry Level
CPA Ontario,Data Analyst,"Toronto, ON",2 months ago,Hybrid,Full-time,Mid-Senior Level
Four Seasons Hotels and Resorts,"Analyst, Data Science","Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
Apex Systems,Business Systems Analyst (Data Management & Analytics),"Toronto, ON",5 days ago,Hybrid,,
UniUni,Data Analyst & BI Specialist,Canada,Reposted 1 week ago,Remote,Full-time,Mid-Senior Level
Unreal Staffing,AI Analyst (The Data Decoder),"Toronto, ON",1 week ago,Remote,Full-time,Mid-Senior Level
BGIS,Business Intelligence Analyst (Future Openings),"Markham, ON",Reposted 2 days ago,On-site,Full-time,Mid-Senior Level
Four Seasons Hotels and Resorts,"Analyst, Data Assets","Toronto, ON",Reposted 4 days ago,Hybrid,Full-time,Mid-Senior Level
Astellas Pharma,Clinical Data Analyst,"Markham, ON",Reposted 4 days ago,Hybrid,Full-time,Mid-Senior Level
"NFP, an Aon company (Canada)",Data Conversion Analyst - Remote,"Mississauga, ON",Reposted 5 days ago,Remote,Full-time,Mid-Senior Level
Stripe,Data Analyst,"Toronto, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level
SCHOOL BOARDS' CO-OPERATIVE INC.,Bilingual Data Assistant/ Analyst,"Markham, ON",4 days ago,Hybrid,Full-time,Associate
Affirm,"Analyst I, Growth Analytics","Toronto, ON",1 week ago,Remote,Full-time,Associate
ICUC,Insights Analyst,"Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
Astek,Data Analyst,"Toronto, ON",1 week ago,Hybrid,,Associate
"NFP, an Aon company (Canada)",Data Conversion Analyst - Remote,"Collingwood, ON",Reposted 5 days ago,Remote,Full-time,Mid-Senior Level
Visa,"Visa Consulting Analytics (VCA) Analyst, New College Grad – 2025","Toronto, ON",2 weeks ago,,Full-time,Mid-Senior Level
TD,Business Insights Analyst,"Toronto, ON",3 weeks ago,Hybrid,Full-time,Entry Level
Neighbourly Pharmacy,Data Process Analyst,"Toronto, ON",Reposted 1 month ago,Remote,Full-time,Entry Level
WSP in Canada,"HR Analyst, Reporting & Analytics","Ontario, Canada",Reposted 3 days ago,Hybrid,,
Loblaw Companies Limited,"Senior Analyst, Analytics & Customer Insights (1 Year Contract)","Brampton, ON",2 weeks ago,,Full-time,Mid-Senior Level
TELUS Digital,Online Data Analyst,"Greenstone, ON",1 week ago,Remote,,Entry Level
TELUS Digital,Online Data Analyst,"Cornwall, ON",1 week ago,Remote,,Entry Level
Affirm,"Analyst I, Growth Analytics","Hamilton, ON",Reposted 2 weeks ago,Remote,Full-time,Associate
Affirm,"Analyst I, Growth Analytics","Oshawa, ON",Reposted 2 weeks ago,Remote,Full-time,Associate
TELUS Digital,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,,Entry Level
Cineplex,Data Insights Analyst,"Toronto, ON",Reposted 2 months ago,Hybrid,Full-time,
TELUS Digital,Online Data Analyst,"Lakeshore, ON",1 week ago,Remote,,Entry Level
Amica Senior Lifestyles,"Data Science Specialist, Research and Analytics - 6 Month Contract","Toronto, ON",2 weeks ago,On-site,,Mid-Senior Level
Stripe,Data Analyst,Canada,Reposted 1 week ago,Remote,Full-time,Mid-Senior Level
Cohere,Data Annotator - Science,"Toronto, ON",2 weeks ago,Remote,Part-time,
"Connor, Clark & Lunn Financial Group (CC&L)","Data Analyst, Investment Data Management","Toronto, ON",Reposted 1 week ago,Hybrid,Full-time,Entry Level
Amazon,ICQA Data Analyst,"Acheson, AB",1 week ago,,Full-time,Mid-Senior Level
The Home Depot Canada,Senior Insight Analyst,"Toronto, ON",4 days ago,On-site,Full-time,Mid-Senior Level
Clarivate,Healthcare Research Data Analyst- Medtech Insights,"Toronto, ON",2 weeks ago,Hybrid,Full-time,Entry Level
"NFP, an Aon company (Canada)",Data Conversion Analyst - Remote,"Orangeville, ON",Reposted 5 days ago,Remote,Full-time,Mid-Senior Level
Services SFT,Data Analyst,"Saint-Laurent, MB",6 days ago,Hybrid,Full-time,Entry Level
"Blake, Cassels & Graydon LLP","Analyst, Business Intelligence","Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
Catalent Pharma Solutions,Analytical Analyst,"Strathroy, ON",Reposted 1 week ago,,Full-time,Entry Level
ICES,Research Analyst,"Toronto, ON",Reposted 2 weeks ago,Hybrid,Full-time,Entry Level
goeasy Ltd.,Data Analyst,"Mississauga, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level
McKesson,Data Science Intern - Winter 2025,"Edmonton, AB",6 days ago,,Full-time,Mid-Senior Level
O2E Brands,Data Analyst,"North York, ON",2 months ago,Hybrid,Full-time,Entry Level
Paralucent,Marketing Data Analyst (PL618),"Ontario, Canada",2 months ago,Hybrid,Full-time,Mid-Senior Level
Clipboard Health,Sales Data Analyst,NAMER,Reposted 3 weeks ago,Remote,Full-time,Entry Level
City of Brampton,Assistant Asset Management Data Analyst – Co-op,"Brampton, ON",1 week ago,Hybrid,,Mid-Senior Level
Siemens,Data Analyst - co-op - Winter 2025,"Concord, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level
TELUS Digital,Online Data Analyst,"North Bay, ON",1 week ago,Remote,,Entry Level
TELUS Digital,Online Data Analyst,"Hawkesbury, ON",1 week ago,Remote,,Entry Level
Affirm,"Analyst I, Growth Analytics","Kitchener, ON",Reposted 2 weeks ago,Remote,Full-time,Associate
Cogeco Connexion,Digital Data Analyst,"Burlington, ON",3 days ago,Hybrid,Full-time,Mid-Senior Level
Transamerica,"Data Analyst, Agent Insurance Supervision","Toronto, ON",5 days ago,Hybrid,Full-time,Entry Level
Darkhorse Analytics,Data Visualization Analyst,"Edmonton, AB",2 weeks ago,Hybrid,Full-time,Entry Level
Citi,IT Business Data Analyst,"Mississauga, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level
Affirm,"Analyst I, Growth Analytics","Ottawa, ON",Reposted 2 weeks ago,Remote,Full-time,Associate
OpenText,"Analyst-Workplace Solutions, Space Management(AutoCAD\ Power BI)","Mississauga, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level
407 ETR,Sr. Data Analyst,"Woodbridge, ON",Reposted 6 days ago,On-site,Full-time,Mid-Senior Level
York Region (The Regional Municipality of York),Statistical Data Analyst,"Newmarket, ON",1 month ago,On-site,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level
TELUS Digital,Online Data Analyst,"Welland, ON",1 week ago,Remote,,Entry Level
JLL,Operational Data Analyst,"Toronto, ON",3 days ago,Remote,Full-time,Associate
TELUS Digital,Online Data Analyst,"Russell, ON",1 week ago,Remote,,Entry Level
Southlake Regional Health Centre,"Data Analyst- Surgical Program, Thoracic Surgery","Newmarket, ON",2 weeks ago,On-site,Part-time,Entry Level
CAMH,Data Analyst - 988 Crisis Service,"Toronto, ON",1 week ago,On-site,Full-time,Mid-Senior Level
Sobeys,Retail Insights Data Specialist,"Mississauga, ON",1 week ago,Hybrid,Full-time,
Affirm,"Analyst I, Growth Analytics","London, ON",Reposted 2 weeks ago,Remote,Full-time,Associate
Alimentiv,Clinical Data Analyst,"Toronto, ON",Reposted 1 week ago,Remote,Full-time,Mid-Senior Level
Touchstone Institute,Expression of Interest (Data Analytics & Psychometrician Services Required),"Toronto, ON",5 days ago,Remote,Full-time,Entry Level
Canadian Tire Corporation,Forecasting Analyst (Evergreen),"Toronto, ON",7 months ago,Hybrid,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Fort Liard, NT",2 days ago,Remote,Part-time,Entry Level
RBC,Client Intelligence Analytics,"Toronto, ON",1 week ago,,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Taloyok, NU",2 days ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level
Affirm,"Analyst I, Growth Analytics","Windsor, ON",Reposted 2 weeks ago,Remote,Full-time,Associate
J&M Group,Data Governance Analyst,"Toronto, ON",2 months ago,On-site,,
SiriusXM Canada,"Analyst, Contact Centre Reporting and Analytics","Toronto, ON",4 months ago,On-site,Full-time,Entry Level
LTIMindtree,Data Business System Analyst,Canada,1 week ago,Remote,,
The Home Depot Canada,Senior Insight Analyst,"Toronto, ON",4 days ago,On-site,Full-time,Mid-Senior Level
Shoppers Drug Mart,"Senior Analyst, Pricing Analytics (12 Month Contract)","Toronto, ON",1 week ago,,Full-time,Mid-Senior Level
Flashpoint,Intelligence Analyst II,Canada,3 weeks ago,Remote,Full-time,Associate
DataAnnotation,Data Analyst,Canada,Reposted 1 week ago,Remote,,Mid-Senior Level
Nestlé Nespresso SA,IT Business Intelligence Intern,"Montreal, QC",6 hours ago,Hybrid,,Associate
TELUS Digital,Online Data Analyst,"Clarence-Rockland, ON",1 week ago,Remote,,Entry Level
Definity,"Data Scientist, Finance Transformation","Waterloo, ON",Reposted 4 days ago,Hybrid,Full-time,
HelloFresh,Staff Data Analyst,"Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level
The Salvation Army in Canada,"Data Analyst, Salesforce","Toronto, ON",3 weeks ago,Remote,Full-time,Mid-Senior Level
Watson Building Supplies a GMS Company,Data Analyst,"Vaughan, ON",20 hours ago,Hybrid,Full-time,Entry Level
Campus4Tech,Are You An Account Executive Looking To Transition Your Career To Become Data Analyst,Canada,4 days ago,Remote,Full-time,Associate
"PENN Entertainment, Inc","Data Analyst, Marketing","Toronto, ON",1 week ago,Hybrid,Full-time,
Cision,Media Intelligence Analyst,"Ottawa, ON",2 weeks ago,Remote,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,Canada,2 days ago,Remote,Part-time,Entry Level
New Flyer,Connect Data Analyst,"Winnipeg, MB",3 weeks ago,On-site,Full-time,Associate
RideCo On-Demand Transit,Business Data Analyst,"Waterloo, ON",2 weeks ago,Hybrid,Full-time,
Trillium Health Partners,Performance Analytics Advisor,"Mississauga, ON",18 hours ago,Hybrid,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Dieppe, NB",2 days ago,Remote,Part-time,Entry Level
Cognizant,Data Analytics Specialist,"Brampton, ON",18 hours ago,On-site,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Yarmouth, NS",2 days ago,Remote,Part-time,Entry Level
Global Pharma Tek,Data Analytical Specialist,"Toronto, ON",5 months ago,On-site,,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Winnipeg, MB",2 days ago,Remote,Part-time,Entry Level
Seneca Polytechnic,"Senior Analyst, HR Technology and Analytics - 6 month contract","North York, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level
Coveo,Data Analyst Intern (Finances Team),"Clarke City, QC",1 month ago,On-site,,
Campus4Tech,"As An Public Relation Specialist, Are You Considering Pivoting Your Career To Data Analyst",Canada,6 days ago,Remote,Full-time,Associate
Deloitte,"Open-Source Intelligence Analyst/Senior Associate, Forensic","Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level
UST,Business Analyst - Data extraction,"Toronto, ON",4 days ago,,Full-time,Mid-Senior Level
EXL,"Business Data Analyst, Product","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level
HOOPP (Healthcare of Ontario Pension Plan),"Analyst, Pension Accounting – Reporting and Analytics (12-month Contract)","Toronto, ON",1 week ago,Hybrid,Full-time,Entry Level
